Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,service_count,avg_monthly_value,revenue_per_month,engagement_score,is_new_customer,contract_risk,payment_risk,monthly_x_tenure,has_internet,has_family,low_engagement,high_risk,cluster,segment,churn_probability,churn_prediction,predicted_value,value_score,recommended_action,customer_category,customer_id_display
0,0,0,1,No,DSL,Yes,Yes,No,No,No,No,month-to-month,1,Mailed check,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,36.05,53.85,11.87,1,2,0,107.7,1,0,1,0,2,At Risk Customers,0.5294774435103771,1,285.2697,0.082701534, Maintain / Monitor,Stable Customer,0
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.7,151.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,50.55,70.7,15.24,1,2,1,141.4,1,0,1,0,1,Low Value New,0.3467870442243779,0,276.3645,0.081728324, Maintain / Monitor,Stable Customer,1
0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,99.65,820.5,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,91.16666666666669,99.65,22.83,1,2,1,797.2,1,0,1,0,1,Low Value New,0.3960056993735633,1,1079.7029,0.16952074, Maintain / Monitor,Stable Customer,2
0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,104.8,3046.05,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,105.03620689655172,104.8,29.86,0,2,1,2934.4,1,0,1,0,0,High Value Loyal,0.3127512105791751,0,3387.2083,0.42169523, Maintain / Monitor,Stable Customer,3
0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,True,False,False,False,True,False,True,False,False,False,4-6 years,1,100.726,103.7,35.94,0,2,0,5081.3,1,0,1,0,0,High Value Loyal,0.1570816906603927,0,4605.0615,0.5547877, Maintain / Monitor,Stable Customer,4
0,1,0,1,No,DSL,No,No,Yes,Yes,No,No,month-to-month,0,Credit card (automatic),55.2,528.35,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,48.03181818181818,55.2,14.54,1,2,0,552.0,1,0,1,0,1,Low Value New,0.3778835230261244,1,313.8138,0.08582096, Maintain / Monitor,Stable Customer,5
1,0,0,0,No,DSL,No,No,Yes,No,No,Yes,month-to-month,1,Electronic check,39.65,39.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,19.825,39.65,8.23,1,2,1,39.65,1,0,1,0,3,Premium Customers,0.7838311307226644,1,71.283424,0.05931615, Retention Campaign (Email / Promotion),At-Risk Low Value,6
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Mailed check,20.15,20.15,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,10.075,20.15,4.83,1,2,0,20.15,0,0,1,0,2,At Risk Customers,0.2324763852594699,0,92.33165,0.06161639, Maintain / Monitor,Stable Customer,7
0,1,1,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,month-to-month,1,Electronic check,99.35,4749.15,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,98.940625,99.35,34.47,0,2,1,4669.45,1,0,1,0,0,High Value Loyal,0.2216421677414449,0,4860.736,0.5827289, Maintain / Monitor,Stable Customer,8
0,1,0,0,No,DSL,No,Yes,No,No,No,No,month-to-month,0,Electronic check,30.2,30.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,15.1,30.2,6.34,1,2,1,30.2,1,0,1,0,3,Premium Customers,0.6829749861311089,1,142.16626,0.06706254, Retention Campaign (Email / Promotion),At-Risk Low Value,9
