Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,service_count,avg_monthly_value,value_change,revenue_per_month,engagement_score,is_new_customer,contract_risk,payment_risk,monthly_x_tenure,has_internet,has_family,low_engagement,high_risk
0,0,0,1,No,DSL,Yes,Yes,No,No,No,No,month-to-month,1,Mailed check,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,36.050000000000004,17.799999999999997,53.85,11.870000000000001,1,2,0,107.7,1,0,1,1
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.7,151.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,50.550000000000004,20.15,70.7,15.24,1,2,1,141.4,1,0,1,1
0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,99.65,820.5,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,91.16666666666667,8.483333333333334,99.65,22.830000000000002,1,2,1,797.2,1,0,1,1
0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,104.8,3046.05,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,105.03620689655173,-0.2362068965517352,104.8,29.86,0,2,1,2934.4,1,0,1,0
0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,True,False,False,False,True,False,True,False,False,False,4-6 years,1,100.726,2.9740000000000038,103.7,35.94,0,2,0,5081.3,1,0,1,0
0,1,0,1,No,DSL,No,No,Yes,Yes,No,No,month-to-month,0,Credit card (automatic),55.2,528.35,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,48.03181818181818,7.1681818181818215,55.2,14.540000000000001,1,2,0,552.0,1,0,1,1
1,0,0,0,No,DSL,No,No,Yes,No,No,Yes,month-to-month,1,Electronic check,39.65,39.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,19.825,19.825,39.65,8.23,1,2,1,39.65,1,0,1,1
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Mailed check,20.15,20.15,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,10.075,10.075,20.15,4.83,1,2,0,20.15,0,0,1,1
0,1,1,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,month-to-month,1,Electronic check,99.35,4749.15,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,98.940625,0.40937499999999716,99.35,34.47,0,2,1,4669.45,1,0,1,0
0,1,0,0,No,DSL,No,Yes,No,No,No,No,month-to-month,0,Electronic check,30.2,30.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,15.1,15.1,30.2,6.34,1,2,1,30.2,1,0,1,1
0,0,0,1,No,DSL,No,No,No,No,Yes,Yes,month-to-month,1,Mailed check,64.7,1093.1,1,True,False,False,True,False,False,False,False,False,True,1-2 years,1,60.727777777777774,3.9722222222222285,64.7,18.54,0,2,0,1099.9,1,0,1,0
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,69.7,316.9,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,52.81666666666666,16.88333333333334,69.7,15.940000000000001,1,2,1,348.5,1,0,1,1
0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,106.35,3549.25,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,101.40714285714286,4.942857142857136,106.35,31.97,0,2,1,3615.8999999999996,1,0,1,0
0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,92.11666666666667,5.73333333333332,97.85,23.37,1,2,0,1076.35,1,0,1,1
0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,80.65,144.15,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,48.050000000000004,32.6,80.65,17.230000000000004,1,2,1,161.3,1,0,1,1
0,0,1,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,month-to-month,1,Credit card (automatic),99.1,1426.4,1,True,False,False,False,True,False,False,True,False,False,1-2 years,1,89.15,9.949999999999989,99.1,24.82,0,2,0,1486.5,1,0,1,0
1,1,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Credit card (automatic),80.65,633.3,1,True,False,False,False,True,False,False,True,False,False,0-1 year,1,70.36666666666666,10.283333333333346,80.65,19.03,1,2,0,645.2,1,0,1,1
1,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.45,1752.55,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,92.23947368421052,3.2105263157894797,95.45,24.99,0,2,1,1718.1000000000001,1,0,1,0
